GAME_ID,TEAM_ABBREVIATION_HOME,WL_HOME,MIN_HOME,FGA_HOME,FG3A_HOME,FTA_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,TEAM_ABBREVIATION_AWAY,FGA_AWAY,FG3A_AWAY,FTA_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY
29000488,SAC,0,240,85,5,19,50,22,4,9,16,17,LAL,85,8,17,42,27,10,5,9,16
29000495,PHL,0,265,100,9,31,45,40,11,2,18,28,GOS,102,9,32,39,36,11,1,14,26
29000489,LAL,1,240,84,3,26,40,23,9,7,13,16,SEA,85,4,19,35,27,4,12,12,24
29000494,SAN,0,240,83,6,30,41,24,8,5,18,30,CHH,75,4,33,29,27,8,6,13,24
29000490,PHX,1,240,82,5,27,40,24,8,5,11,18,DET,78,10,20,32,32,5,3,14,24
29000498,BOS,0,240,86,2,31,48,17,8,11,16,21,NJN,89,1,31,43,28,9,1,11,21
29000493,CLE,0,265,95,6,22,51,28,3,7,15,23,UTH,85,6,34,46,31,10,7,13,24
29000497,MIA,1,240,84,6,17,34,29,12,5,18,20,NYK,84,6,22,41,16,10,3,24,20
29000491,POR,1,240,108,15,33,54,28,13,9,11,23,WAS,91,4,23,52,25,6,8,21,30
29000496,MIL,1,240,84,2,39,45,29,14,4,15,29,ORL,75,11,38,32,27,7,4,21,29
29000492,DAL,0,265,102,12,17,49,18,8,2,10,25,LAC,90,0,30,51,34,5,7,16,18
29000499,ATL,1,240,73,16,29,39,24,11,4,18,13,CHI,91,7,15,39,28,10,0,17,22
29000504,ATL,1,240,88,3,39,53,21,14,5,16,15,NJN,88,7,13,45,21,8,5,24,30
29000507,HOU,1,240,102,14,30,49,25,9,1,11,24,LAC,77,2,28,46,21,5,3,21,22
29000502,SEA,1,240,95,10,19,50,34,15,4,15,19,WAS,87,3,11,39,24,4,8,19,17
29000503,SAC,1,240,82,7,26,38,29,11,9,11,22,PHX,86,8,22,49,21,5,3,17,23
29000505,IND,1,240,88,7,34,46,25,10,4,16,23,UTH,84,7,23,28,25,10,6,13,27
29000501,DEN,0,240,100,16,29,44,21,10,7,14,30,SAN,87,0,40,48,21,7,3,16,25
29000508,DAL,1,240,96,7,17,50,26,5,4,6,20,CHH,77,4,30,38,23,4,5,9,17
29000506,MIN,1,240,94,5,29,44,25,14,4,19,23,GOS,98,13,28,48,26,9,7,19,21
29000500,PHL,0,240,80,9,22,36,23,4,2,12,22,NYK,81,7,22,42,29,7,5,14,21
29000509,POR,1,240,83,17,33,36,25,9,6,17,22,MIL,86,11,26,37,23,6,1,19,23
29000514,NYK,1,265,83,5,35,49,30,3,9,15,21,PHL,92,7,20,32,21,11,7,4,24
